Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,5020.09,5048.37,5003.31,5034.06,142337500,5034.06
2015-03-26,4992.55,5006.35,4932.53,5006.35,161978600,5006.35
2015-03-25,5073.28,5087.30,5012.87,5020.99,124717600,5020.99
2015-03-24,5040.86,5103.30,5032.78,5088.28,130680800,5088.28
2015-03-23,5078.25,5078.25,5036.23,5054.52,112901000,5054.52
2015-03-20,5044.42,5106.04,5036.27,5087.49,185669400,5087.49
2015-03-19,5029.97,5059.68,5006.82,5037.18,122169000,5037.18
2015-03-18,5032.18,5041.32,5001.37,5033.42,127395500,5033.42
2015-03-17,5065.62,5074.83,5006.93,5028.93,132932500,5028.93
2015-03-16,5019.02,5071.68,5019.02,5061.16,109124000,5061.16
2015-03-13,4997.94,5010.80,4969.47,5010.46,105602100,5010.46
2015-03-12,4990.96,5000.94,4981.28,4987.33,112062500,4987.33
2015-03-11,4900.37,5003.58,4900.33,4997.75,000,4997.75
2015-03-10,4930.06,4941.38,4869.45,4881.95,000,4881.95
2015-03-09,4940.64,4950.42,4917.46,4937.20,000,4937.20
2015-03-06,4953.68,4986.88,4949.88,4964.35,000,4964.35
2015-03-05,4929.04,4974.64,4926.09,4963.51,000,4963.51
2015-03-04,4882.94,4917.35,4856.14,4917.35,000,4917.35
2015-03-03,4922.43,4936.47,4863.92,4869.25,116619800,4869.25
2015-03-02,4937.43,4950.59,4900.11,4917.32,149942900,4917.32
2015-02-27,4905.77,4951.48,4903.09,4951.48,120717900,4951.48
2015-02-26,4884.89,4910.62,4877.24,4910.62,105228900,4910.62
2015-02-25,4885.00,4894.60,4863.22,4882.22,117214700,4882.22
2015-02-24,4865.68,4899.52,4843.96,4886.44,106329800,4886.44
2015-02-23,4872.13,4875.97,4832.36,4862.30,102128000,4862.30
2015-02-20,4821.38,4837.93,4780.81,4830.90,140055500,4830.90
2015-02-19,4788.40,4841.69,4770.17,4833.28,000,4833.28
2015-02-18,4782.59,4806.68,4775.87,4799.03,000,4799.03
2015-02-17,4720.93,4766.67,4683.19,4753.99,000,4753.99
2015-02-16,4757.52,4766.47,4747.22,4751.95,99362700,4751.95
2015-02-13,4748.04,4779.54,4741.20,4759.36,000,4759.36
2015-02-12,4670.08,4746.75,4664.03,4726.20,000,4726.20
2015-02-11,4687.87,4694.44,4659.46,4679.38,94464200,4679.38
2015-02-10,4663.46,4716.49,4636.08,4695.65,127662600,4695.65
2015-02-09,4652.16,4659.26,4611.15,4651.08,138917900,4651.08
2015-02-06,4698.84,4707.24,4675.37,4691.03,000,4691.03
2015-02-05,4654.56,4705.10,4647.85,4703.30,121316800,4703.30
2015-02-04,4682.81,4696.30,4651.78,4696.30,130750800,4696.30
2015-02-03,4651.07,4701.52,4645.15,4677.90,000,4677.90
2015-02-02,4613.31,4646.55,4584.37,4627.67,123784000,4627.67
2015-01-30,4655.95,4660.71,4583.68,4604.25,142104300,4604.25
2015-01-29,4571.05,4632.38,4571.05,4631.43,117222200,4631.43
2015-01-28,4660.45,4660.88,4582.58,4610.94,130618600,4610.94
2015-01-27,4671.76,4679.26,4592.62,4624.21,000,4624.21
2015-01-26,4620.00,4678.83,4616.61,4675.13,127771700,4675.13
2015-01-23,4588.49,4673.30,4585.64,4640.69,222514400,4640.69
2015-01-22,4486.76,4569.55,4462.17,4552.80,208073500,4552.80
2015-01-21,4455.01,4484.82,4406.72,4484.82,160196600,4484.82
2015-01-20,4406.96,4463.51,4405.94,4446.02,000,4446.02
2015-01-19,4388.67,4423.25,4367.24,4394.93,107393400,4394.93
2015-01-16,4303.55,4387.22,4294.76,4379.62,000,4379.62
2015-01-15,4262.94,4338.73,4119.35,4323.20,000,4323.20
2015-01-14,4227.46,4302.22,4207.37,4223.24,151689400,4223.24
2015-01-13,4204.77,4307.92,4197.81,4290.28,000,4290.28
2015-01-12,4196.78,4252.27,4165.15,4228.24,000,4228.24
2015-01-09,4249.26,4272.83,4149.14,4179.07,000,4179.07
2015-01-08,4176.16,4270.11,4163.63,4260.19,000,4260.19
2015-01-07,4111.73,4144.95,4080.78,4112.73,000,4112.73
2015-01-06,4129.89,4151.41,4076.16,4083.50,000,4083.50
2015-01-05,4221.99,4276.92,4105.45,4111.36,000,4111.36
2015-01-02,4294.05,4311.00,4224.34,4252.29,000,4252.29
2014-12-31,4256.17,4275.58,4255.33,4272.75,000,4272.75
2014-12-30,4293.90,4296.02,4245.54,4245.54,000,4245.54
2014-12-29,4301.66,4317.93,4249.95,4317.93,000,4317.93
2014-12-24,4309.75,4316.39,4295.02,4295.85,000,4295.85
2014-12-23,4264.54,4314.97,4259.21,4314.97,000,4314.97
2014-12-22,4255.88,4295.15,4239.36,4254.43,000,4254.43
2014-12-19,4282.39,4291.20,4202.07,4241.65,000,4241.65
2014-12-18,4186.26,4249.49,4159.95,4249.49,000,4249.49
2014-12-17,4052.23,4131.81,4035.30,4111.91,000,4111.91
2014-12-16,4027.51,4094.19,3926.34,4093.20,000,4093.20
2014-12-15,4094.46,4144.31,4000.80,4005.38,000,4005.38
2014-12-12,4197.48,4202.52,4103.49,4108.93,000,4108.93
2014-12-11,4225.33,4249.12,4196.53,4225.86,000,4225.86
2014-12-10,4280.34,4306.72,4216.18,4227.91,000,4227.91
2014-12-09,4332.73,4342.12,4260.07,4263.94,149779500,4263.94
2014-12-08,4400.17,4407.95,4375.48,4375.48,77425600,4375.48
2014-12-05,4366.22,4422.85,4359.32,4419.48,125876600,4419.48
2014-12-04,4399.94,4427.74,4310.69,4323.89,144554000,4323.89
2014-12-03,4384.04,4405.83,4378.88,4391.86,87190000,4391.86
2014-12-02,4396.75,4422.77,4373.03,4388.30,101308700,4388.30
2014-12-01,4354.19,4383.19,4334.81,4377.33,95799400,4377.33
2014-11-28,4378.32,4390.18,4353.60,4390.18,104492600,4390.18
2014-11-27,4375.42,4396.20,4374.58,4382.34,95289500,4382.34
2014-11-26,4382.88,4399.41,4364.59,4373.42,95096700,4373.42
2014-11-25,4369.31,4403.55,4361.18,4382.31,122591400,4382.31
2014-11-24,4355.97,4400.34,4348.83,4368.44,117173100,4368.44
2014-11-21,4245.65,4356.11,4240.19,4347.23,197869900,4347.23
2014-11-20,4264.61,4264.73,4201.47,4234.21,110207200,4234.21
2014-11-19,4263.33,4289.17,4251.04,4266.19,83273700,4266.19
2014-11-18,4230.41,4267.66,4223.32,4262.38,101914700,4262.38
2014-11-17,4169.61,4239.11,4166.40,4226.10,95508800,4226.10
2014-11-14,4208.11,4208.13,4164.79,4202.46,109621000,4202.46
2014-11-13,4203.67,4220.74,4153.17,4187.95,131579800,4187.95
2014-11-12,4232.34,4242.62,4175.29,4179.88,122989000,4179.88
2014-11-11,4227.12,4252.92,4223.68,4244.10,99662200,4244.10
2014-11-10,4184.18,4224.83,4174.98,4222.82,123847500,4222.82
2014-11-07,4238.87,4239.56,4161.15,4189.89,144094600,4189.89
2014-11-06,4193.48,4275.30,4180.32,4227.68,163811600,4227.68
2014-11-05,4163.51,4214.35,4145.61,4208.42,126747900,4208.42
2014-11-04,4177.20,4208.52,4118.50,4130.19,142148700,4130.19
2014-11-03,4225.81,4238.46,4185.41,4194.03,123590300,4194.03
2014-10-31,4213.47,4246.93,4181.96,4233.09,182457000,4233.09
2014-10-30,4138.08,4151.11,4051.86,4141.24,248771100,4141.24
2014-10-29,4126.97,4134.83,4106.14,4110.64,135705400,4110.64
2014-10-28,4107.57,4127.87,4098.74,4112.67,134538100,4112.67
2014-10-27,4170.84,4171.53,4065.93,4096.74,126568700,4096.74
